nodes, tasks_per_node, cpus_per_task, npoints, ngrid_x, ngrid_y, throughput      , total   , density , fft     , potential, forces  , interpolation, kick    , drift   , reorder
    1,              1,             8, 1048576,     256,     256, 396214062.664014, 0.793947, 0.130380, 0.005347,  0.011806, 0.122313,      0.465237, 0.026111, 0.012538, 0.000000
    1,              1,             8, 1048576,     256,     256, 414301271.268257, 0.759285, 0.130651, 0.005408,  0.011933, 0.123218,      0.429424, 0.026090, 0.012472, 0.000000
