nodes,tasks_per_node,cpus_per_task,npoints,ngrid_x,ngrid_y,throughput,total,density,fft,potential,forces,interpolation,kick,drift,reorder
1,1,32,1048576,512,512,175975905.466167,1.787590,1.099500,0.060439,0.018033,0.009363,0.524385,0.013274,0.008163,0.049725
1,1,64,1048576,512,512,200949565.602228,1.565432,0.671766,0.093539,0.016919,0.012411,0.698347,0.011554,0.008473,0.040661
1,1,16,1048576,512,512,98978271.348163,3.178201,2.023306,0.152496,0.037526,0.045088,0.634802,0.145354,0.039861,0.095338
1,1,112,1048576,512,512,182556991.792670,1.723148,0.411119,0.203300,0.024434,0.020309,0.960918,0.019533,0.012786,0.049614
1,1,8,1048576,512,512,52147330.870576,6.032385,4.050130,0.209116,0.064134,0.060922,1.008352,0.342321,0.174515,0.117217
1,1,4,1048576,512,512,28931461.614395,10.873035,8.074706,0.333501,0.118526,0.077172,1.463350,0.410171,0.227181,0.158758
1,1,2,1048576,512,512,15225947.877716,20.660310,16.123169,0.551220,0.227970,0.139159,2.469280,0.561541,0.312510,0.254649
1,1,1,1048576,512,512,7855752.974582,40.043622,32.242493,1.044180,0.448924,0.249376,4.068134,0.927029,0.559893,0.447284
