nodes,tasks_per_node,cpus_per_task,npoints,ngrid_x,ngrid_y,throughput,total,density,fft,potential,forces,interpolation,kick,drift,reorder
1,1,8,131072,128,128,245510726.821290,0.160162,0.028621,0.004942,0.011198,0.006633,0.067491,0.007776,0.003773,0.017914
1,1,8,1048576,256,256,470437217.889356,0.668682,0.150086,0.005419,0.011757,0.006947,0.376966,0.026078,0.012581,0.066674
1,1,8,8388608,512,512,280460937.388512,8.973023,1.723859,0.009519,0.017388,0.009062,6.613953,0.171920,0.087716,0.322692
1,1,8,33554432,1024,1024,291639528.551382,34.516342,6.180289,0.009813,0.034108,0.014493,25.898218,0.673903,0.337695,1.337503
